NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_name,class_no
217.0,39.0,0.5687685012817383,232.0,32.0,0.6985622048377991,204.0,32.0,0.7233784198760986,254.0,54.0,0.6487549543380737,193.0,52.0,0.5980483293533325,284.0,115.0,0.9202629327774048,158.0,118.0,0.8445457220077515,287.0,203.0,0.7351783514022827,149.0,201.0,0.9388174414634705,248.0,127.0,0.5959398150444031,182.0,123.0,0.6844972372055054,250.0,286.0,0.7464665174484253,179.0,287.0,0.854032039642334,277.0,437.0,0.83855801820755,144.0,432.0,0.8295669555664062,301.0,589.0,0.7663065791130066,120.0,597.0,0.8470058441162109,start,0
216.0,54.0,0.48512721061706543,225.0,50.0,0.6600295305252075,207.0,51.0,0.7149751782417297,242.0,63.0,0.7135704755783081,192.0,67.0,0.5370749235153198,276.0,117.0,0.7838836908340454,159.0,120.0,0.8321474194526672,278.0,182.0,0.8105834722518921,150.0,190.0,0.7590899467468262,247.0,98.0,0.4066387116909027,178.0,99.0,0.6238740086555481,246.0,283.0,0.894041895866394,173.0,282.0,0.8677027225494385,269.0,440.0,0.8714314103126526,143.0,434.0,0.8172718286514282,293.0,581.0,0.535839319229126,119.0,586.0,0.37576428055763245,start,0
220.0,41.0,0.6714307069778442,235.0,37.0,0.6029476523399353,210.0,36.0,0.6359593868255615,253.0,62.0,0.8369949460029602,194.0,60.0,0.7753024697303772,284.0,121.0,0.9180787801742554,157.0,124.0,0.9215967059135437,302.0,208.0,0.9193592071533203,140.0,206.0,0.8569188117980957,251.0,125.0,0.5277842283248901,186.0,122.0,0.5225986242294312,255.0,291.0,0.8381726741790771,180.0,290.0,0.882919192314148,277.0,447.0,0.8103940486907959,145.0,440.0,0.8793224096298218,296.0,593.0,0.7394411563873291,116.0,603.0,0.8511791825294495,start,0
265.0,77.0,0.4946933686733246,280.0,67.0,0.6617323160171509,249.0,67.0,0.6042200326919556,304.0,85.0,0.6685994267463684,235.0,93.0,0.7356196641921997,352.0,157.0,0.9180327653884888,197.0,158.0,0.7681279182434082,364.0,253.0,0.8027652502059937,166.0,251.0,0.8313830494880676,304.0,151.0,0.6566961407661438,222.0,159.0,0.8483248949050903,311.0,370.0,0.8678986430168152,220.0,373.0,0.81875079870224,338.0,555.0,0.7478460669517517,175.0,550.0,0.8987187147140503,362.0,734.0,0.9202267527580261,148.0,734.0,0.91377854347229,start,0
292.0,45.0,0.3769599199295044,305.0,36.0,0.6298855543136597,282.0,41.0,0.49506011605262756,323.0,62.0,0.7606439590454102,256.0,61.0,0.8115971088409424,354.0,122.0,0.91097092628479,221.0,121.0,0.913049578666687,395.0,218.0,0.897084653377533,170.0,213.0,0.7422038316726685,420.0,145.0,0.8233945965766907,141.0,135.0,0.8826192617416382,331.0,330.0,0.9347532987594604,237.0,327.0,0.8639469146728516,362.0,511.0,0.8877153396606445,205.0,512.0,0.9288952350616455,394.0,662.0,0.7001173496246338,173.0,665.0,0.7266805171966553,start,0
374.0,198.0,0.5499657988548279,395.0,192.0,0.44992709159851074,350.0,193.0,0.5161449313163757,432.0,231.0,0.7043050527572632,311.0,228.0,0.7840721607208252,482.0,345.0,0.7212199568748474,253.0,334.0,0.722557544708252,525.0,483.0,0.6889562606811523,197.0,455.0,0.8740296363830566,465.0,320.0,0.5875683426856995,290.0,301.0,0.6402579545974731,429.0,669.0,0.8665781617164612,281.0,666.0,0.8803895711898804,493.0,931.0,0.8049876689910889,210.0,936.0,0.6336665153503418,517.0,1223.0,0.7817144393920898,172.0,1223.0,0.8594079613685608,start,0
254.0,25.0,0.3079559803009033,269.0,14.0,0.35662102699279785,246.0,16.0,0.6018627882003784,283.0,23.0,0.5470430850982666,231.0,25.0,0.6314927339553833,333.0,109.0,0.8253109455108643,182.0,111.0,0.9306126236915588,378.0,224.0,0.9371927976608276,132.0,231.0,0.6110061407089233,411.0,123.0,0.8318157196044922,102.0,133.0,0.8516882658004761,305.0,324.0,0.9268667697906494,199.0,322.0,0.8982807397842407,344.0,555.0,0.7962698936462402,155.0,551.0,0.7789204120635986,386.0,746.0,0.8553498983383179,119.0,757.0,0.8798435926437378,start,0
255.0,110.0,0.571283221244812,270.0,102.0,0.7247756719589233,241.0,101.0,0.7620095014572144,296.0,126.0,0.773464560508728,225.0,126.0,0.8061577081680298,337.0,197.0,0.6756223440170288,181.0,203.0,0.9244058132171631,350.0,313.0,0.7373430132865906,163.0,313.0,0.8696185350418091,299.0,208.0,0.6288148164749146,216.0,217.0,0.824073314666748,304.0,430.0,0.9078183770179749,210.0,434.0,0.8706393837928772,345.0,605.0,0.7819929122924805,164.0,601.0,0.711998462677002,360.0,774.0,0.9102041125297546,142.0,773.0,0.8826404213905334,start,0
297.0,45.0,0.32427945733070374,311.0,36.0,0.6706441044807434,286.0,35.0,0.5895448923110962,326.0,64.0,0.7723115682601929,260.0,62.0,0.7538844347000122,355.0,127.0,0.711523175239563,224.0,127.0,0.9477208256721497,399.0,226.0,0.91706383228302,175.0,223.0,0.9028695821762085,423.0,147.0,0.5179812908172607,144.0,143.0,0.8872123956680298,333.0,333.0,0.9367931485176086,240.0,330.0,0.8935017585754395,364.0,518.0,0.7696570158004761,205.0,514.0,0.6143699884414673,399.0,674.0,0.7461438179016113,174.0,676.0,0.7647461295127869,start,0
200.0,90.0,0.6843620538711548,213.0,83.0,0.6426560878753662,189.0,81.0,0.706048846244812,232.0,89.0,0.7758264541625977,175.0,94.0,0.7155584096908569,274.0,147.0,0.7433171272277832,148.0,147.0,0.8372556567192078,297.0,205.0,0.8526554703712463,120.0,205.0,0.8410727977752686,249.0,121.0,0.8130250573158264,171.0,126.0,0.8516098260879517,247.0,307.0,0.8476637005805969,161.0,305.0,0.7925169467926025,271.0,498.0,0.8597768545150757,120.0,489.0,0.8596123456954956,281.0,604.0,0.3459569215774536,101.0,601.0,0.39787235856056213,start,0
256.0,79.0,0.3840387463569641,271.0,60.0,0.5150110721588135,247.0,67.0,0.48142093420028687,287.0,78.0,0.6238569021224976,233.0,80.0,0.6809403896331787,338.0,159.0,0.8114956617355347,182.0,158.0,0.8048801422119141,385.0,277.0,0.9019057750701904,132.0,278.0,0.9050261378288269,387.0,177.0,0.6656778454780579,125.0,178.0,0.8384310007095337,310.0,392.0,0.9156209230422974,209.0,393.0,0.8940408229827881,356.0,604.0,0.740607738494873,165.0,595.0,0.6194311380386353,403.0,804.0,0.8210362792015076,128.0,810.0,0.7518212199211121,start,0
